keys,ja
KEY_VIEW_ITEM_18_1002,"[br]\n[C_IR]무슨 소리야. 다른 B랭크 녀석들 따위[br]전혀 별거 없다고. 나랑 같은 급으로 보지 말아 줄래?[/C][br][C_IS]………… 아뇨 아뇨, 그런 건…….[/C][br][C_IR]「C랭크 던전에서 놀고 있는 마도사 집단」이랑[br]「도적을 리더로 둔 수상한 집단」말이야?[br]후자 쪽은 B랭크 주제에 던전에 들어가기는커녕[br]활동조차 안 하게 됐잖아.[br]……길드는 이대로 괜찮은 거야?[/C]"
KEY_VIEW_ITEM_18_1003,"[br][C_IS]아뇨, 그게, 그분들에게도 사정이 있어서…….[/C][br][C_IR]사정이라니── 그거지?[br][C_R]「예언자가 죽었다」[/C]는 그거.[br]\n[C_IR]근데 말이야, [I_PARTYS_]에서는「혈통은 관계없다」느니「노하우로 예언한다」느니 떠들었잖아.[br]정작 [C_R]사냥꾼 남자가 실수로 죽었을 때는[br]곧바로 같은 직업 모험가를 보충했으면서[/C]…….[br]예언자가 죽어서 활동 중단이라니, 그 인터뷰는 다 뻥이었나 보네.[/C]"
KEY_VIEW_ITEM_18_1004,"[br][C_IS]그게…… 돌아가신 아가씨가[br]리더의 유일한 손녀였던 모양이라서…….[/C][br][C_IR]어머, 그래?[br]전혀 안 닮아서 어디서 훔쳐 온 딸인 줄 알았네.[br]아─ 싫다 싫어. 겉모습만 치장하고 멘탈 약한 거[br]숨기는 녀석들은 뭘 해도 안 된다니까.[/C][br][C_IS]…….[/C]"
KEY_VIEW_ITEM_18_1005,"[br]\n[C_IR]뭐, 내 적수가 될 만한 건 [N_KILLING] 정도려나.[/C][br][C_IS]……확실히 거의 혼자서 싸우고 있는데도[br][C_R]단 한 명도 죽게 하지 않은 것[/C]은 기적이네요.[/C][br][C_IR]「던전에서는」말이지.[/C][br][C_IS]…….[/C]"
KEY_VIEW_ITEM_18_1006,"[br]\n[C_IR]농담이야. 그 사람은 대단해.[br]현재 길드 최강의 전력 아니겠어?[br][C_R]다른 3명을 반드시 데려가야 한다는 규칙[/C]만 없었다면 그 [C_R]『금기』[/C]에도 혼자 맞섰을걸.[br]……그 핸디캡을 가진 광견을 어떻게 따돌리고[br]A랭크가 되어 줄까나…….[/C][br][C_IS]A랭크에 올라가려면 A랭크 파티를[br]뛰어넘어야 합니다만…….[/C][br][C_IR]진심으로 하는 소리야? 너희들, 후회하고 있잖아?[/C]"
KEY_VIEW_ITEM_18_1007,"[br][C_IS]그, 그런 건……!![/C][br][C_IR]뭐, 됐어. [C_R]그렇게나 죽어나갔는데도[/C][br]앞으로 어떻게 할지 필사적으로 고민하는 것만으로도 A랭크급 멘탈은 된다고 봐.[br]C랭크 녀석들은 사람 좀 죽었다고[br]아─무것도 못 하게 되어버리니까 말이야.[/C][br][C_IS]……………….[/C]"
KEY_VIEW_ITEM_18_1008,"[br]\n[C_IR]그 사람한테는 기대하고 있었는데 말이야.[br][C_R]제멋대로 앞에 나선 마도사[/C] 하나 죽었다고[br]방 밖으로도 안 나오게 되어버리다니…….[br]대신할 애 같은 건 얼마든지 있을 텐데.[/C][br][C_IS]…… 주, 죽은 사람 이야기가 나와서 말인데,[br]당신도 놀랄 정도로 사망자를 내고 계시잖아요!?[/C][br][C_IR]반격하려는 거야?[/C]"
KEY_VIEW_ITEM_18_1009,"[br][C_IS]아닙니다!! 당신은 [C_R]앞으로 한 명이라도 더[br]사망자가 나오면 실격[/C]이라고요!?[br]심지어 전부 건장한 『전사』뿐……!![/C][br][C_IR]……………….[/C][br][C_IS]……저는 초기부터 이 길드에 있으면서[br]수많은 파티를 봐왔습니다.[br]게다가 저에게도 옛날엔 동료가………… 윽,[br]같은 파티에서 함께 싸우는 [I_C_MEMB_]의 목숨을[br]가볍게 여기고 계신 건 아니겠죠!!?[/C]"
KEY_VIEW_ITEM_18_100A,"[br]\n[C_IR]……흐음, 화났나 보네…….[br]길드의 과거에 대해서 잘 아는구나.[/C][br][C_IS]……윽, 그건 당연히──[/C][br][C_IR][C_R][b]『사령술』[/b][/C].[/C][br][C_IS]……에?[/C]"
KEY_VIEW_ITEM_18_100B,"[br]\n[C_IR]그래…… 생각보다 빨리 기회가 왔네.[br]너한테는 다 이야기해 줄게.[br]\n[C_IR]내 파티는── [b][C_R]『순종적인 불사의 군단』[/C][/b].[br]\n[C_IR][C_R]바로 전 인터뷰[/C] 덕분에 떠올린 거야.[br]내 [C_R]『사령술』[/C]을 최대한 활용한──[br]『최강』의 파티라고.[/C]"
KEY_VIEW_ITEM_18_100C,"[br][C_IS]…………? 무슨 말씀을 하시는 건가요?[br]길드 신고란에는[C_R]「죽은 자의 영혼을 인도한다」[/C]고…….[/C][br][C_IR]조사 잘했네. 하지만 거짓말은 아니야.[br]죽은 자의 영혼을 인도해서…… [C_R][b]『실체화』[/b][/C]시켜서[br]싸우게 하는 것까지가 나의 『사령술』이니까.[/C][br][C_IS]……………… 하하……[br]……그, 그런 게 가능할 리가…….[/C]"
KEY_VIEW_ITEM_18_100D,"[br]\n[C_IR]안심해. 인도할 수 있는 영혼에도『제약』이 있으니까. [br]아무나 다 싸우게 할 수는 없어. [/C][br][C_IS]……………………. [/C][br][C_IR]여기서 보여주면 다들 주저앉아 버릴 테니까,[br]그냥 적당히 들어둬. 이 자리를 난장판으로 만들고 싶진 않거든. [/C][br]\n[b]「그치?」[/b]라며 뒤쪽 좌석을 향해 미소 짓는다. [br]……그는 난처한 듯 시선을 돌렸다. [br]"
KEY_VIEW_ITEM_18_100E,"[br][C_IS]………… 이건 고인에 대한 모독입니다.[/C][br][C_IR]살아있는 인간에 대한 모독이 더 심하다고 생각하는데.[br]뭐, 네가 모르는 것도 무리는 아니야.[br]나도 [C_R]『이것』[/C]을 준 친구에게 배우기 전까지는[br]몰랐던 특별한 술법이니까.[/C]\n가슴팍의 [C_R]펜던트[/C]를 살며시 쓰다듬는다.[br][C_IS]그것은……?[/C]"
KEY_VIEW_ITEM_18_100F,"[br]\n[C_IR]색깔이 참 이쁘지? ……본 적 없어?[/C][br][C_IS]아뇨, 아마 본 적 없…………── 윽!!?[/C][br][C_IR]……. 그쪽 리더는 아주 가관이라서[br]파티는 [C_R]그 아이와 리더만 남기고 전멸[/C].[br]거기에 실격 책임을 그 아이 탓으로 돌린 리더는[br]그녀를 속여서 인신매매범에게 팔아넘겼다고 해.[/C]"
KEY_VIEW_ITEM_18_100G,"[br][C_IS]──…….[/C][br][C_IR]그 애를 마지막으로 만났을 때, 아직 그 리더를[br]완전히 의심하지 못하는 모습이었어. ……사람 속이는 법 하나만큼은 『S랭크』였나 보지.[/C][br]\n[C_IR]하지만 눈앞에서 남동생을 잃은 그녀가[br]나에게 술법과 펜던트를 맡기며[br][C_R]「혹시 무슨 일이 생기면── 『부탁해』, 응?」[/C][br]라고 말한 건…… 분명 그녀 안에서[br]희미하게 의구심과 증오가 싹트고 있었기 때문이겠지.[/C]"
KEY_VIEW_ITEM_18_100H,"[br][C_IS]…………………… 그, [b]망할 개 자식……!!![/b][/C][br][C_IR]자, 이 사령술 말인데…… 어떤 던전의[br]영력이 높은 구역에서『인연』을 맺은 상대가[br]멋대로 영혼이 고정되어서『불사의 시병』이 되는 거야.[/C][br]\n[C_IR]…… 아, 『인연』에 대해서는 신경 쓰지 마.[br][C_R]「토씨 하나 안 틀리고 편집 없이 신속하게 발행」[/C]하는 게 장점이라며? [I_PARTYS_]는…….[br]난 그 신속함을 신뢰하고 있거든.[/C]"
KEY_VIEW_ITEM_18_100I,"[br][C_IS]…….[/C][br][C_IR]처음엔 한 명씩 찾아보려고 했는데[br]줄줄이 사탕처럼 4명 다 모여버려서 말이야.[br]덕분에 강력한 병단이 완성됐다는 거지.[/C][br]\n[C_IR]…… 그런데 아까 네가 직접 말했지만[br]그들의 파티 내 처우는 [C_R]『사망자』[/C]로 해도 되는 거지?[br]그들, 던전에서 50일 넘게 안 나오고 있는 셈이니까.[/C]"
KEY_VIEW_ITEM_18_100J,"[br][C_IS]예!? ……아, 뭐…… 그렇게 됩니다만…….[/C][br][C_IR]다행이다. 봐봐, 최근에 『치짱』을[br]데려왔으니까 조금 불안했거든.[br]나 혼자라면 D랭크라도 상관없지만 말이야.[/C][br][C_IS]………… 뒤에 있는 소년에게 손을 대는 건…….[/C][br][C_IR]안심해. 『치짱』에게 술법은 안 쓸 거니까.[/C]"
KEY_VIEW_ITEM_18_100K,"[br][C_IS]…………………….[/C][br][C_IR]믿어달라고. [C_R]평생을 함께할 생각[/C]이니까.[/C][br]\n（[b]「오짱!?」[/b]하며 뒷좌석에서 그가 얼굴을 붉힌다）[br]\n[C_IR]처음엔 장난 반이었어. 인터뷰를 보고[br]바로 동료로 삼았을 때는 말이야.[br]그런데 말이지, 처음으로 뼈저리게 느꼈어.[br]나의 약점은 바로 『먹을거』였다는 걸.[br]…… 절대 죽게 두지 않을 거니까.[/C]"
KEY_VIEW_ITEM_18_100L,"[br][C_IS]아뇨, 저기, 실례했습니다…….[/C][br][C_IR]혹시 3일 전 [I_NEWS___]의 [C_R][b]『동반 자살 미수』[/b][/C]를 우려하는 거야? 우리랑 같이 취급하지 말아 줄래?[/C][br][C_IS]……!? 아니, 그건 [C_R][b]『식중독』[/b][/C]이라고──[/C][br][C_IR]흐음…… 그 두 사람, 여자 버릇 나쁜 거 몰랐어?[br]리더가 워낙 똑 부러진 덕분에 그들도 나쁜 짓을 안 하게 된 거지만 말이야.[/C]"
KEY_VIEW_ITEM_18_100M,"[br][C_IS]…………!!?[/C][br][C_IR]애초에 [C_R]요리사를 새로 구하는 거[/C]까지는 이해하는데,[br]그다음에 신입 여자애까지 파티에 넣는 건[br]누가 봐도 이상하잖아. 인터뷰에서도[br]「약초면 충분하다」고 했으면서…….[/C][br]\n[C_IR]뭐, 그래도 아무것도 모르는 신입을 말려들게 하지 않게하고, 본인도 독을 마시고 같이 죽으려 했던 걸 보면 나쁜 사람은 아니었겠지만 말이야.[/C]"
KEY_VIEW_ITEM_18_100N,"[br][C_IS]…….[/C][br][C_IR]뭐, 아까도 말했지만[br]풋풋한 신입 리더의 멘탈만큼은 인정해.[br]다른 한쪽이 리더가 아니라서 다행이네.[br]한을 품은 여자는 무섭다고─?[/C][br][C_IS]…….[/C][br][C_IR][N_SUISEN_]은 [C_R]어디 있어?[/C][/C]"
KEY_VIEW_ITEM_18_100O,"[br][C_IS]!?[/C][br][C_IR]알고 있지?[/C][br][C_IS]── 윽, 몰라!! 알 게 뭐야!!![br]만약 알고 있었다면 [b][C_R]내가 지금 당장 그놈을 죽이러 가……[/C]……[/b]……………… [br]앗. 아니……[/C][br][C_IR]………….[/C]"
KEY_VIEW_ITEM_18_100P,"[br][C_IS]죄, 죄송합니다! 방금 건 말실수로──[/C][br][C_IR]자, 나도 이만 가볼게.[br]오늘 이야기 들어줘서 고마워.[br]길드가 힘든 시기일지도 모르지만[br][b][C_R]무슨 일 있으면 도와줄 테니까[/C][/b]. 연락 줘.[br][C_IS]…………………….[br]이, 인터뷰는 이상입니다![br]오늘 와주셔서 감사합니다![br]그럼──"
KEY_VIEW_ITEM_18_100Q,"[br]\n[C_IR]우리 쪽 시병이 말이야, [N_KUROYUR]의 마지막을 알고 있더라고. 들어볼래?[/C][C_IS]……──읏, [b]이제 그만 말해!! 내가 이상해지겠어!!![/b][/C][br][C_IR]지극히 정상이네. 녀석의 행방, 알아낼 수 있지?[/C][C_IS]모릅니다!! 좋은 여행 되시길!![/C][br][C_IR]나중에 알려 줘. [/C]"
KEY_VIEW_ITEM_04_1001,"4명의 모험가가 단상에 오른다.[br][C_IS]이야~ 오랜만이라 긴장되네요…… 여, 여러분![br]먼저 B랭크 승격을 축하드립니다![/C][br][C_IR]음, 고맙네. 내 손주도 그 [C_R][b]『[N_PAKIRA_]단』[/b] 다음으로 인터뷰를 하는 게[/C] 우리라는 걸 알고 무척 기뻐하더구나.[/C][br][C_IS]대단하네요…… 앗, 『손주』요?[br]그렇다면 뒤에 있는 소년이…….[/C]"
KEY_VIEW_ITEM_04_1002,"[br]\n[C_IR]그렇다네. 내 친손자인 [N_SAGE__2]라네.[br]귀엽지 않은가~?[/C][br][C_IS]헤~…… 앗, 손을 흔들었다! 귀여워라~![br]……그런데 괜찮으시겠어요? 저렇게 어린아이를…….[/C][br][C_IR]허허허! 걱정 말게나. 이래 뵈도[br]나 못지않은 마력을 지니고 있다네.[br][C_R]『현자』[/C]인 나의 피를 진하게 이어받았거든.[/C]"
KEY_VIEW_ITEM_04_1003,"[br][C_IS]현자!? ……앗, 진짜다!! 처음 봤어요!![/C][br][C_IR]허허허! 공부를 제법 열심히 했구먼![br]마도사가 오른쪽에 장착하는 [C_R]『마도사의 증표』[/C]와,[br]성직자가 왼쪽에 장착하는 [C_R]『성직자의 증표』[/C],[br]그 양쪽을 모두 장착할 수 있는 건──[br]『현자』뿐이라네.[/C][br][C_IS]하아~…… 손자분도 장래가 기대되네요![/C]"
KEY_VIEW_ITEM_04_1004,"[br]\n[C_IR]아니, [N_SAGE__2]는 순수한 마도사라네.[br]공격 마법과 치유 마법은 서로 상반되는 것이기에[br]나 같은 자는 매우 드문 편이지.[br]하지만 마도사로서의 적성은 나보다도 높다고 해도 과언이 아니라네.[/C][br][C_IS]헤에~ 그럼 뒤에 계신 부모님도 무척 강하시겠네요.[/C][br][C_IR]──…….[/C]"
KEY_VIEW_ITEM_04_1005,"[br][C_IS][N_SAGE___] 님?[/C][br][C_IR]아니, 미안하네. 내 아들── 저 아이의 부모는[br]얼마 전 전투에서 지하로 소환되었다네.[/C][br][C_IS]에윽!? ……앗, 설마 얼마 전 [C_R]『토벌』[/C] 건으로……[br]아니, 죄송합니다![/C]"
KEY_VIEW_ITEM_04_1006,"[br]\n[C_IR]괜찮네, 괜찮아. 뒤의 부부는 [N_SAGE__2]의 친척뻘[br]되는 사람들일세. 아들 내외가 타계한 직후에[br]스스로「파티에 들어가겠다」고 나서주어서 말이야.[br]살날이 얼마 남지 않은 나 대신 손주를 부탁했지.[/C][br][C_IS]살날이 얼마 안 남으셨다니, 농담도 참~.[/C][br][C_IR]아니, 제 몸은 제 자신이 가장 잘 아는 법이라네.[br]리더 변경도 생각하고 있고 말이야.[/C]"
KEY_VIEW_ITEM_04_1007,"[br][C_IS]하아…… 그럼 앞으로는 그 두 분 중[br]어느 분을 리더로 세우실 생각인가요?[/C][br][C_IR]아니, 리더는 [N_SAGE__2]가 이을 걸세.[/C][br]\n（뒤에 있던 남성이 갑자기 일어서서 소리를 지른다）[br]\n[C_IR]앉게나, 사람들을 놀라게 하지 말고.[/C]"
KEY_VIEW_ITEM_04_1008,"[br][C_IS]저, 저기, 진정해 주세…….[/C][br][C_IR]내 눈은 못 속인다네.[br][N_SAGE__2]를 쫓아내려는 속셈이 뻔히 보이는구먼.[br]분명 자네는 내가 죽으면 자네 아이를 넣어서[br]이 파티를 집어삼키고 날뛸 생각이지?[br]허나 [N_SAGE__2]의 마법이나 다른 모험가들,[br]그리고 무엇보다── 던전을 얕보지 말게나.[br]……실력만을 말하는 게 아니야. 자네에게,[br][C_R]나나 내 아들 내외와 같은 일을 당할 각오가 되어 있는가?[/C][br]\n（뒤의 남성이 한참 침묵하다 자리에 앉는다）"
KEY_VIEW_ITEM_04_1009,"[br]\n[C_IR]……[N_SAGE__2]는 강하고 마음씨 착한 아이라네.[br]그 아이가 리더가 된다면 자네들을[br]죽게 내버려 두는 무모한 짓은 하지 않을 게야.[/C][br][C_IS]…….[/C][br][C_IR]뭐, 리더가 되는 건 이미 결정된 사항이지만 말일세~.[br]………… 그래서, 미안하구먼. 무슨 이야기를 하고 있었더라?[/C]"
KEY_VIEW_ITEM_04_100A,"[br][C_IS]헤!? 아, 저기……?[/C][br][C_IR][b]『[N_MATISSE] 도적단』[/b] 이야기였나. 그건──[/C][br][C_IS]아, 아닙니다! 인터뷰는 이상으로 마치겠습니다![br]오늘 감사했습니다! 좋은 여행 되시길──[/C][br][C_IR]듣지 않을 텐가.[/C]"
KEY_VIEW_ITEM_04_100B,"[br][C_IS]아니, 그게, 이미 시간이 다 되어서…….[/C][br][C_IR]듣고 싶지 않은 게로군.[br][I_NEWS___]에도 실리지 않았으니까 말이야. 이 길드는[br]그런 곳이니까…… 내가,[br][C_R]마물화된 손녀딸을 직접 숨통을 끊은 이야기 같은 건.[/C][br][C_IS]!? ……아, 아니, 그건 처음 듣는 이야기라……!![/C]"
KEY_VIEW_ITEM_04_100C,"[br]\n[C_IR]허허허! [C_R]길드에 가입한 도적단이,[br]어린 손녀딸과 애제자였던 소년을 속여서 죽인[/C] 이야기 따위, 이 길드의 『오점』일 테니까 말이야.[/C][br][C_IS]엣, 그 소년도 아는 사이였나요!?[br]………… 그건…… 저기…….[/C][br][C_IR]무슨, 마물화된 [C_R]도적 4명[/C]은 먼지조차 남기지 않고[br]전원 토벌했으니 안심하게나. 손녀딸의 눈앞에서 말이지.[/C]"
KEY_VIEW_ITEM_04_100D,"[br][C_IS]…….[/C][br][C_IR]……그 소년은 [b][C_R]『마물을 소멸시키는 마법』[/C][/b]을 하늘로부터 받았었다네. 나조차 터득하지 못한,[br]그야말로 대마법…… 기적의 기술이었지.[br]그렇기에 그 소년에게 손녀딸을 맡겼던 것인데…….[br]그런데 같은 길드의 [C_R]인간[/C]이 그 소년과[br]손녀딸의 미래를 앗아간 것이야. 이 분통함을 자네가 알겠나?[/C][br][C_IS]아뇨…….[/C]"
KEY_VIEW_ITEM_04_100E,"[br]\n[C_IR]갈기갈기 찢겨 먹힌 소년의 시체 옆에서,[br]도적단과 함께 손녀딸도 마물화되어 있었다네.[br]내 자식인 줄 알면서도 아무것도 못 한 채 살해당한 아들 내외와, 손녀딸의 숨통을 직접 끊은 나의 심정……[br]……자네들 길드 사람들이 알 턱이 있겠나?[/C][br][C_IS]죄송합니다…… 죄송합니다…….[/C][br][C_IR]부탁하네…… 내 마지막 소원이니, 앞으로는 제대로 된 인간을 그 두 눈으로 똑똑히 지켜봐 주게나.[br][N_SAGE__2]와 미래가 창창한 아이들을 위해서라도…….[/C]"
KEY_VIEW_ITEM_16_1001,"4명의 모험가가 단상에 오른다.[br][C_IS]오늘 와주셔서 정말 감사합니다.[br]그리고 B랭크 승격을 축하드립니다![/C][br][C_IR]고맙네. 하지만 복잡한 심경이로군.[br]……그들 [C_R]3명의 희생[/C]은 결코 헛되게 하지 않을 걸세.[/C][br][C_IS]그렇, 군요…….[/C][br][C_IR]……………………. [b]「사과하고 싶다」[/b], 인가.[/C]"
KEY_VIEW_ITEM_16_1002,"[br][C_IS]!? [/C][br][C_IR]젊구먼…… 하지만 그 마음을 잊어서는 안 되네.[br]사람은 그렇게 성장해 나가는 법이니까.[/C][br][C_IS]고, 감사합니다! ……그런데[br]어떻게 제 생각을 아신 건가요?[br]설마 이게 그──[/C]"
KEY_VIEW_ITEM_16_1003,"[br]\n[C_IR]핫핫하![br]우리 [b]『[N_HOOZUKI] 미래단』[/b]에 불가능이란 없다![br]……만, 방금 건 딱히 [b]『예언』[/b] 같은 게 아니야.[br]발행된 신문은 전부 훑어보고 있으니까 말이지.[/C][br][C_IS]깜, 깜짝 놀랐어요……. 저기,[br][C_R]『예언자』[/C]라고 하셨나요? 처음 들어보는데,[br]그쪽 동네에서는 흔치 않은 직업인가요?[/C]"
KEY_VIEW_ITEM_16_1004,"[br]\n[C_IR]아니, 아마 우리가 세계 최초일 걸세.[br]마법의 종류는 수없이 많지만, 미래를 예측하는 마법은 존재하지 않았지. 우리는 독자적인 노하우로 미래를 『예언』하는 것이 가능해졌다네![/C][br][C_IS]헤에─…… 참고로 적중률은 어느 정도인가요?[/C][br][C_IR]현재로서는 [C_R][b]『100%』[/b][/C]라네.[/C]"
KEY_VIEW_ITEM_16_1005,"[br][C_IS][b]네!? 100%요!!? [/b] 에, 저기, 그렇다면……!![/C][br][C_IR]당황하지 말게. 『예언』에는 번거로운 절차나[br]제약이 따르는 데다, 해석이 어려운 것도 있다네.[br]이 자리에서 시간을 들여 할 수 있는 『예언』도……[br]기껏해야 내일 날씨 정도지.[/C][br][C_IS]아니 아니 아니, 그것만 해도 엄청난 거 아닌가요![br]그렇다는 건 던전에서도……?[/C]"
KEY_VIEW_ITEM_16_1006,"[br]\n[C_IR]음, 우리는 이 이마의 트레이드마크가 상징하듯[br]『미래』를 『예언』하며 싸운다네.[br]『예언』을 바탕으로 『도적』이 공간을 파악하고,[br]멀리서 우수한 『사냥꾼』과──[/C][C_IS][b]사냥꾼!!!!![/b][/C][br][C_IR]…… 『마도사』가 급소를 찌르지. 그것이 가능한 건 우리 [b]『[N_HOOZUKI] 미래단』[/b] 4명뿐![br]저기 [C_R]마도사가 4명 모여있을 뿐인 녀석들[/C]하고는[br]차원이 다르단 말이지! 핫핫하![/C]"
KEY_VIEW_ITEM_16_1007,"[br][C_IS]대단하다…… 어라? 그런데 위험한 던전 안에서[br]『예언』 같은 준비를 할 수 있나요?[/C][br][C_IR]물론이지. 대부분의 『예언』은 던전에[br]들어가기 전에 미리 실시한다네. ……다만 갈림길 등에서 즉석으로 『예언』이 필요할 때도 있지.[br]리스크는 있지만, 시간을 들이면 가능하다네.[/C][br][C_IS]그렇군요…… 위험을 사전에 예지할 수 있다는 건[br]다른 어느 파티에도 없는 강점이네요![br]……후계자 문제 같은 건 괜찮으신가요?[/C]"
KEY_VIEW_ITEM_16_1008,"[br]\n[C_IR]핫핫하! [C_R]그 늙은이[/C]와는 다르게[br]난 아직 젊디젊다고! 앞으로 1000일이든[br]10000일이든 후계자 걱정 따위는 전혀 필요 없네![/C][br][C_IS]하지만 연세가 있으시잖아요.[br]혹시 이미 『예언』하셨다거나──[/C][br][C_IR][b]입 조심하게, 애송이.[/b][/C]"
KEY_VIEW_ITEM_16_1009,"[br][C_IS]!? 죄, 죄송합니다!!![/C][br]\n[C_IR]뭐…… 우리가 활약하고 있는 와중에 그 늙은이가[br]아끼는 [C_R]손주에게 리더 자리를 물려줬으니[/C],[br]우리의 사정이 궁금해지는 것도 이해는 하네만.[/C][br]\n[C_IR]하지만 마도사들이 소중히 여기는 마력 따위와는 다르게 [C_R]『예언』에 혈통은 관계없다네.[/C][br]우리만의 독자적인 문화라 타인이 흉내 낼 수는 없어도, 전수하고자 한다면 얼마든지 가능하지.[/C]"
KEY_VIEW_ITEM_16_100A,"[br][C_IS]그렇군요…… 어라, 무적 아닌가요?[/C][br][C_IR]어쨌든 예언·공간 파악·원거리 공격이 갖춰진[br]우리 [b]『[N_HOOZUKI] 미래단』[/b]에 불가능이란 없네![br]후계자 걱정 같은 건 안 해도 조만간 A랭크가 될 테니까! 핫핫하![/C][br][C_IS]좋네요…… 저도 제 미래를[br]예언받고 싶── 헉, 벌써 시간이 이렇게!?[/C]"
KEY_VIEW_ITEM_16_100B,"[br][C_IS]오늘 감사했습니다! 그럼 이만──[/C][br][C_IR]음,「좋은 여행」되게나.[/C][br][C_IS]!? 세상에…… 설마 이것도 『예언』……!?[/C][br][C_IR]……. 핫핫하. 젊구먼.[/C]"
KEY_VIEW_ITEM_12_1001,"1명의 모험가가 단상에 오른다.[br][C_IS]에─…… 마음을 가다듬고,[br]오늘 [C_R]두 번째[/C] 인터뷰입니다![br]바쁘신 와중에 시간 내주셔서 감사합니다![/C][br][C_IR]별말씀을요! ……인터뷰라는 거,[br]저 같은 사람도 받을 수 있는 거였군요.[/C][br][C_IS]네, [C_R][b]100일 이상 존속한 파티[/b][/C]에게는[br]기념으로 인터뷰를 부탁드리고 있습니다.[br]C랭크든 B랭크든 상관없이,[br]존속하고 있다는 것만으로도 대단한 일이니까요![/C]"
KEY_VIEW_ITEM_12_1002,"[br]\n[C_IR]100일 이상…… 그렇군요. 그 녀석도[br]이 자리에 올 수 있었다면 좋았을 텐데…….[/C][br][C_IS]혹시 오늘 일정이 맞지 않은 멤버가 있나요?[/C][br][C_IR]아뇨, 제 파티는 [C_R]처음부터 혼자[/C]였습니다.[br]그 녀석의 파티도 [C_R]혼자[/C]였고요.[/C]"
KEY_VIEW_ITEM_12_1003,"[br][C_IS]…………앗! 설마 그분이란 게……![/C][br][C_IR]알고 계셨나요. 어떤 인터뷰를 보고[br][b][C_R]혼자서도 파티 등록을 할 수 있다[/C][/b]는 걸 알게 된 저희는[C_R]「누가 먼저 A랭크가 되는지 내기하자!」[/C]라며[br]같은 날 길드에 등록했거든요.[br]그랬더니 그 녀석은 엄청난 속도로[br]B랭크까지 올라가서 정말 깜짝 놀랐습니다.[/C][br][C_IS]확실히 대단했었죠…….[/C]"
KEY_VIEW_ITEM_12_1004,"[br]\n[C_IR]솔직히 저보다 그 녀석이 더 『버서커』 같았다는 느낌도…….[br][C_R]싸우는 방식이나 외모 때문에 주변을 겁나게 하는[/C] 일도 있었을지 모르지만……[br]사실은 다정한 녀석입니다, 그 『[I_BRAVE__]』는.[/C][br][C_IS]얼마 전 저도 만난 적이 있습니다. 확실히 처음엔[br]무서웠지만 정의감이 넘치는 분이셨죠.[/C][br][C_IR]그렇죠! 친구로서 자랑스러…… 어라,[br]언제 인터뷰를 하셨던 건가요?[/C]"
KEY_VIEW_ITEM_12_1005,"[br][C_IS]아뇨, 정식 인터뷰는 아니었지만[br]그분이 B랭크로 승격했을 때 우연히 만나서[br]가볍게 이야기를 나눌 기회가 있었습니다.[/C][br][C_IR]그러셨군요…… 그러고 보니 [I_PARTYS_]는[br][C_R][b]인터뷰 날짜가 처음부터 정해져 있었죠[/b][/C].[/C][br][C_IS]네. 다들 일정을 맞춰 주셔서[br]도움이 되고 있습니다. [C_R]어떤 파티만큼은[br]급한 일이 생겨서 날짜를 조금 미뤘습니다[/C]만…….[/C]"
KEY_VIEW_ITEM_12_1006,"[br]\n[C_IR]하하…… 그런 일도 있었죠.[br]……사실 저희는 그 사람의 인터뷰를 보고[br]길드에 등록해야겠다고 생각했거든요.[/C][br][C_IS]그랬었나요!? ……아아![br]그래서 두 분 다 파티명에[b]「고고한」[/b]이[br]붙어있었던 거군요! 헤에─ [C_R]진정한 고고함[/C]……!![/C][br][C_IR]뭐, 그 녀석의 파티가 없어져서[br]고고한 것도 이제 저 혼자뿐이지만요 (웃음).[/C]"
KEY_VIEW_ITEM_12_1007,"[br][C_IS]……아까운 분을 잃었습니다.[/C][br][C_IR]하하하…… 뭐, 그런 이유로[br]저도 혼자서 위를 목표로 할 이유가 없어졌습니다.[br]이전 [I_PARTYS_]에서 도적단 사람도 이야기했지만,[br]이대로 있어도 정말 실격 처리가 안 되나요?[/C][br][C_IS]네. C랭크 그대로 유지됩니다. 저도 그 부분은[br]수정이 필요하다고 생각합니다만…….[/C]"
KEY_VIEW_ITEM_12_1008,"[br]\n[C_IR]수정할 거라면 [C_R]『[I_PARTYS_]의 100일 제한』[/C]도[br]같이 수정하면 안 될까요? 그 녀석의 인터뷰,[br]저도 보고 싶었는데…… 맞다,[br]지금이라도 [I_PARTYS_]에 게재합시다![/C][br][C_IS]그러고 싶지만……[br]규칙이라서 죄송합니다.[/C][br][C_IR]으으으……! [C_R]아까 그 2인조[/C]도 말했지만,[br][C_R]「이 길드의 센스는 쓰레기」[/C]라는 소리를 들어도[br]할 말 없는 거 아닌가요?[/C]"
KEY_VIEW_ITEM_12_1009,"[br][C_IS]하하…… 다만 이번 이야기를 듣고 나니[br]한 번쯤 특례 같은 걸 만들고 싶어지네요.[br]기회가 되면 건의해 보겠습니다. ……그리고[br][I_PARTYS_]가 아닌 쪽에는 짤막하게 기사도 실려 있어요.[/C][br][C_IR]뭐라고요!? 그 녀석, 그런 건 한 마디도……!!![br]이러고 있을 때가 아니지!! 보고 오겠습니다!!![/C][br][C_IS]앗, 저기……………… 가버렸네.[br]……음, 좋은 여행 되시길![/C]"
